# Episode,Reward,Timestep
1,369.43,1992
2,433.46,1992
3,329.73,1992
4,415.44,1992
5,402.95,1992
6,245.75,1992
7,550.82,1992
8,188.39,1992
9,138.54,2952
10,235.62,3752
11,133.39,3920
12,292.20,3928
13,142.76,4000
14,520.24,4000
15,234.08,4000
16,311.48,4000
17,183.62,4792
18,79.98,5016
19,208.53,5760
20,474.44,5936
21,216.85,6008
22,467.10,6008
23,402.29,6008
24,436.68,6008
25,128.30,6376
26,324.27,6512
27,223.18,7176
28,499.05,7944
29,184.93,7976
30,371.50,8016
31,344.69,8016
32,380.72,8016
33,412.92,8384
34,384.08,8520
35,517.47,9184
36,153.60,9256
37,289.74,9616
38,444.25,9952
39,389.78,10024
40,537.60,10024
41,347.36,10392
42,276.36,10528
43,184.17,10936
44,11.27,11064
45,482.21,11192
46,149.29,11216
47,206.73,11280
48,354.83,11624
49,118.89,11872
50,269.30,11912
51,118.34,12712
52,163.12,12720
53,458.18,12944
54,367.87,13200
55,276.07,13288
56,139.96,13528
57,280.26,13632
58,144.99,13880
59,67.25,14216
60,116.62,14312
61,173.99,14696
62,534.59,14720
63,516.09,14952
64,181.61,15184
65,328.13,15208
66,159.95,15864
67,564.64,15888
68,332.92,16208
69,417.80,16224
70,427.92,16320
71,519.22,16728
72,164.92,17192
73,332.76,17216
74,73.76,17336
75,419.22,17872
76,507.52,17896
77,410.44,17984
78,501.43,18328
79,212.90,18496
80,172.21,19200
81,295.54,19224
82,416.93,19344
83,172.43,19360
84,97.77,19704
85,266.27,19824
86,162.20,19960
87,320.09,20168
88,389.56,20504
89,136.16,20880
90,250.86,21008
91,293.96,21232
92,457.46,21712
93,327.73,21832
94,282.49,21968
95,148.63,22160
96,407.80,22512
97,407.10,22616
98,315.95,23016
99,276.72,23240
100,146.39,23512
101,510.10,23720
102,179.58,23920
103,96.66,23928
104,428.99,23976
105,257.86,24136
106,336.87,24520
107,322.62,25024
108,98.48,25200
109,110.47,25376
110,487.13,25728
111,439.74,25936
112,387.70,25984
113,221.62,26104
114,385.02,26144
115,251.67,26960
116,538.36,27032
117,448.70,27384
118,286.55,27736
119,336.47,27944
120,503.29,27992
121,137.22,28048
122,271.87,28112
123,366.53,28152
124,135.20,28664
125,137.37,28816
126,318.07,28968
127,180.48,29448
128,425.35,29744
129,165.00,29840
130,347.92,30000
